screenshot,position,status,best_name,best_score,second_name,second_score,gap,candidate_saved,candidate_file
1,0,card_surface,4D,0.960,7D,0.955,0.005,yes,4D__SS01_board0_s0.960_g0.005.png
1,1,card_surface,8S,0.865,KS,0.816,0.049,no,
1,2,card_surface,5D,0.667,TS,0.660,0.008,no,
1,3,card_surface,TS,0.796,TH,0.772,0.024,no,
1,4,no_card_surface,,,,,,no,
2,0,card_surface,4D,0.891,7D,0.888,0.003,no,
2,1,card_surface,8S,0.841,8D,0.746,0.095,no,
2,2,card_surface,TS,0.638,5H,0.501,0.138,no,
2,3,card_surface,TH,0.744,TS,0.716,0.028,no,
2,4,card_surface,9C,0.808,5D,0.458,0.349,no,
3,0,no_card_surface,,,,,,no,
3,1,card_surface,JS,0.940,TC,0.272,0.667,no,
3,2,card_surface,5S,0.785,TD,0.292,0.493,no,
3,3,no_card_surface,,,,,,no,
3,4,no_card_surface,,,,,,no,
4,0,card_surface,5H,0.962,5D,0.783,0.179,no,
4,1,card_surface,JS,0.976,QS,0.792,0.184,no,
4,2,card_surface,JD,0.726,QD,0.689,0.036,no,
4,3,card_surface,AS,0.892,JS,0.773,0.119,no,
4,4,no_card_surface,,,,,,no,
5,0,no_card_surface,,,,,,no,
5,1,card_surface,JS,0.988,TC,0.266,0.722,no,
5,2,card_surface,5S,0.929,TD,0.253,0.676,no,
5,3,no_card_surface,,,,,,no,
5,4,no_card_surface,,,,,,no,
6,0,card_surface,JD,0.790,JS,0.769,0.021,no,
6,1,card_surface,6S,0.763,7D,0.759,0.004,no,
6,2,card_surface,JS,0.809,JD,0.712,0.097,no,
6,3,no_card_surface,,,,,,no,
6,4,no_card_surface,,,,,,no,
7,0,no_card_surface,,,,,,no,
7,1,card_surface,JS,0.947,TC,0.294,0.653,no,
7,2,card_surface,5S,0.891,TD,0.266,0.624,no,
7,3,no_card_surface,,,,,,no,
7,4,no_card_surface,,,,,,no,
8,0,no_card_surface,,,,,,no,
8,1,card_surface,JS,0.966,TC,0.269,0.697,no,
8,2,card_surface,5S,0.863,TD,0.273,0.590,no,
8,3,no_card_surface,,,,,,no,
8,4,no_card_surface,,,,,,no,
9,0,no_card_surface,,,,,,no,
9,1,card_surface,JS,0.940,TC,0.272,0.667,no,
9,2,card_surface,5S,0.806,TD,0.283,0.523,no,
9,3,no_card_surface,,,,,,no,
9,4,no_card_surface,,,,,,no,
10,0,card_surface,AH,0.826,AD,0.770,0.056,no,
10,1,card_surface,3D,0.996,2C,0.716,0.280,no,
10,2,card_surface,KC,0.722,2H,0.693,0.029,no,
10,3,no_card_surface,,,,,,no,
10,4,no_card_surface,,,,,,no,
11,0,card_surface,2H,0.802,JS,0.711,0.091,no,
11,1,card_surface,JS,0.976,QS,0.792,0.184,no,
11,2,card_surface,9C,0.750,2H,0.707,0.043,no,
11,3,card_surface,AS,0.892,JS,0.773,0.119,no,
11,4,no_card_surface,,,,,,no,
12,0,card_surface,2H,0.977,2C,0.709,0.268,no,
12,1,card_surface,JD,0.754,8D,0.754,0.000,no,
12,2,card_surface,8H,0.674,TH,0.552,0.122,no,
12,3,card_surface,7S,0.523,7D,0.504,0.019,no,
12,4,no_card_surface,,,,,,no,
13,0,no_card_surface,,,,,,no,
13,1,card_surface,JS,0.968,TC,0.291,0.677,no,
13,2,card_surface,5S,0.942,TD,0.237,0.705,no,
13,3,no_card_surface,,,,,,no,
13,4,no_card_surface,,,,,,no,
14,0,no_card_surface,,,,,,no,
14,1,card_surface,JS,0.947,TC,0.294,0.653,no,
14,2,card_surface,5S,0.891,TD,0.266,0.624,no,
14,3,no_card_surface,,,,,,no,
14,4,no_card_surface,,,,,,no,
15,0,card_surface,JH,1.000,2H,0.960,0.040,no,
15,1,card_surface,QD,1.000,QS,0.991,0.008,yes,QD__SS15_board1_s1.000_g0.008.png
15,2,card_surface,5H,1.000,TH,0.662,0.338,no,
15,3,card_surface,7S,1.000,7D,0.894,0.106,no,
15,4,card_surface,TS,1.000,TD,0.868,0.132,no,
16,0,card_surface,AH,0.854,AD,0.722,0.133,no,
16,1,card_surface,2C,0.994,6C,0.792,0.202,no,
16,2,card_surface,2C,0.824,3H,0.762,0.062,no,
16,3,card_surface,AS,0.872,JS,0.798,0.074,no,
16,4,no_card_surface,,,,,,no,
17,0,card_surface,7S,0.887,AH,0.266,0.621,no,
17,1,card_surface,JS,0.895,TC,0.276,0.619,no,
17,2,card_surface,5S,0.667,TD,0.313,0.355,no,
17,3,card_surface,AS,0.781,JS,0.781,0.000,no,
17,4,no_card_surface,,,,,,no,
18,0,card_surface,3D,0.611,2H,0.602,0.010,no,
18,1,card_surface,6S,0.985,7S,0.870,0.115,no,
18,2,card_surface,AH,0.929,AD,0.577,0.352,no,
18,3,card_surface,4D,0.962,7D,0.957,0.005,yes,4D__SS18_board3_s0.962_g0.005.png
18,4,no_card_surface,,,,,,no,
19,0,card_surface,3D,0.611,2H,0.602,0.010,no,
19,1,card_surface,6S,0.985,7S,0.870,0.115,no,
19,2,card_surface,AH,0.923,AD,0.547,0.375,no,
19,3,card_surface,4D,0.894,7D,0.891,0.003,no,
19,4,card_surface,KC,0.992,QC,0.737,0.255,no,
20,0,card_surface,8H,0.935,TH,0.748,0.186,no,
20,1,card_surface,3D,0.762,2C,0.618,0.143,no,
20,2,card_surface,9C,0.533,KC,0.442,0.091,no,
20,3,no_card_surface,,,,,,no,
20,4,no_card_surface,,,,,,no,
21,0,card_surface,8H,0.988,TH,0.801,0.187,no,
21,1,card_surface,3D,0.762,2C,0.618,0.143,no,
21,2,card_surface,9C,0.533,KC,0.442,0.091,no,
21,3,card_surface,JS,0.911,JD,0.785,0.126,no,
21,4,card_surface,6S,0.862,8S,0.848,0.014,no,
22,0,card_surface,5D,0.839,9C,0.724,0.115,no,
22,1,card_surface,9C,0.840,5D,0.678,0.162,no,
22,2,card_surface,JD,0.697,2H,0.674,0.023,no,
22,3,no_card_surface,,,,,,no,
22,4,no_card_surface,,,,,,no,
23,0,card_surface,AD,0.866,AH,0.776,0.090,no,
23,1,card_surface,9C,0.789,TS,0.750,0.038,no,
23,2,card_surface,3D,0.740,KC,0.691,0.049,no,
23,3,card_surface,7S,0.759,6C,0.755,0.004,no,
23,4,no_card_surface,,,,,,no,
24,0,card_surface,AD,0.866,AH,0.776,0.090,no,
24,1,card_surface,TS,0.727,9C,0.717,0.010,no,
24,2,card_surface,3D,0.781,KC,0.749,0.032,no,
24,3,card_surface,7S,0.759,6C,0.755,0.004,no,
24,4,card_surface,5D,0.887,7D,0.750,0.137,no,
25,0,card_surface,2H,0.977,2C,0.709,0.268,no,
25,1,card_surface,2H,0.994,QS,0.700,0.294,no,
25,2,card_surface,7D,0.638,4D,0.635,0.003,no,
25,3,no_card_surface,,,,,,no,
25,4,no_card_surface,,,,,,no,
26,0,card_surface,2H,0.977,2C,0.709,0.268,no,
26,1,card_surface,2H,0.994,QS,0.700,0.294,no,
26,2,card_surface,TS,0.650,7D,0.534,0.116,no,
26,3,card_surface,6C,0.843,2C,0.661,0.182,no,
26,4,card_surface,2C,0.944,3D,0.665,0.279,no,
27,0,card_surface,3H,0.781,TH,0.722,0.058,no,
27,1,card_surface,6C,0.995,2C,0.794,0.201,no,
27,2,card_surface,AD,0.811,AH,0.746,0.065,no,
27,3,card_surface,QS,0.783,QD,0.774,0.009,no,
27,4,card_surface,2C,0.875,3D,0.727,0.149,no,
28,0,card_surface,JD,0.978,JH,0.895,0.083,no,
28,1,card_surface,TD,0.988,TS,0.880,0.108,no,
28,2,card_surface,9C,0.668,TS,0.575,0.092,no,
28,3,card_surface,8H,0.997,TH,0.822,0.175,no,
28,4,card_surface,5D,0.860,7D,0.716,0.144,no,
29,0,card_surface,9C,0.767,TS,0.748,0.019,no,
29,1,card_surface,3H,0.865,5H,0.626,0.239,no,
29,2,card_surface,JD,0.673,2H,0.655,0.019,no,
29,3,no_card_surface,,,,,,no,
29,4,no_card_surface,,,,,,no,
30,0,card_surface,2H,1.000,3D,0.688,0.312,no,
30,1,card_surface,8H,1.000,TH,0.823,0.177,no,
30,2,card_surface,JD,1.000,JH,0.862,0.138,no,
30,3,card_surface,AD,1.000,AH,0.656,0.344,no,
30,4,card_surface,9C,1.000,5D,0.588,0.412,no,
31,0,no_card_surface,,,,,,no,
31,1,card_surface,JS,0.926,TC,0.315,0.611,no,
31,2,card_surface,5S,0.881,TD,0.224,0.657,no,
31,3,card_surface,AS,0.892,JS,0.773,0.119,no,
31,4,no_card_surface,,,,,,no,
32,0,card_surface,3H,0.858,5H,0.604,0.254,no,
32,1,card_surface,KS,0.909,7S,0.844,0.065,no,
32,2,card_surface,QS,0.701,JS,0.683,0.019,no,
32,3,card_surface,2C,0.838,6C,0.792,0.046,no,
32,4,no_card_surface,,,,,,no,
33,0,card_surface,3H,0.858,5H,0.604,0.254,no,
33,1,card_surface,KS,0.909,7S,0.844,0.065,no,
33,2,card_surface,QS,0.837,JS,0.726,0.111,no,
33,3,card_surface,2C,0.838,6C,0.792,0.046,no,
33,4,card_surface,KC,0.824,JD,0.757,0.067,no,
34,0,no_card_surface,,,,,,no,
34,1,card_surface,JS,0.940,TC,0.272,0.667,no,
34,2,card_surface,5S,0.806,TD,0.283,0.523,no,
34,3,no_card_surface,,,,,,no,
34,4,no_card_surface,,,,,,no,
35,0,card_surface,QC,1.000,QD,0.807,0.193,no,
35,1,card_surface,TH,1.000,AH,0.992,0.008,yes,TH__SS35_board1_s1.000_g0.008.png
35,2,card_surface,AH,1.000,AD,0.579,0.421,no,
35,3,card_surface,8S,1.000,7S,0.881,0.119,no,
35,4,card_surface,TS,1.000,AH,0.731,0.269,no,
36,0,card_surface,2C,0.852,3H,0.792,0.061,no,
36,1,card_surface,JD,0.788,QD,0.785,0.003,no,
36,2,card_surface,JH,0.893,2H,0.882,0.011,no,
36,3,card_surface,2C,0.901,3D,0.746,0.155,no,
36,4,card_surface,3H,0.996,5H,0.725,0.271,no,
37,0,card_surface,QC,0.773,JD,0.715,0.058,no,
37,1,card_surface,TD,0.964,TS,0.884,0.079,no,
