screenshot,position,best_name,best_score,second_name,second_score,gap,candidate_saved,candidate_file
1,1,AD,0.946,KC,0.905,0.041,no,
1,2,2C,0.946,3C,0.930,0.016,yes,2C__SS01_hero2_s0.946_g0.016.png
2,1,7C,0.868,6C,0.863,0.005,no,
2,2,3C,0.887,2C,0.884,0.003,no,
3,1,7H,0.926,7C,0.883,0.043,no,
3,2,6S,0.833,7D,0.831,0.002,no,
4,1,6H,0.911,7C,0.897,0.014,yes,6H__SS04_hero1_s0.911_g0.014.png
4,2,6S,0.923,7D,0.895,0.029,no,
5,1,5H,1.000,7C,0.882,0.118,no,
5,2,2C,1.000,3C,0.965,0.035,no,
6,1,5H,0.964,5C,0.909,0.055,no,
6,2,3C,0.972,2C,0.970,0.001,yes,3C__SS06_hero2_s0.972_g0.001.png
7,1,7C,0.895,KC,0.888,0.008,no,
7,2,KD,0.878,3C,0.851,0.027,no,
8,1,5H,0.942,7C,0.888,0.054,no,
8,2,KD,0.799,6S,0.791,0.007,no,
9,1,9S,0.972,9D,0.928,0.043,no,
9,2,2C,0.972,3C,0.933,0.039,no,
10,1,9S,0.951,9D,0.922,0.029,no,
10,2,3C,0.956,2C,0.955,0.002,yes,3C__SS10_hero2_s0.956_g0.002.png
11,1,TD,0.895,TC,0.883,0.012,no,
11,2,6S,0.979,KD,0.857,0.122,no,
12,1,KC,0.913,7C,0.912,0.001,yes,KC__SS12_hero1_s0.913_g0.001.png
12,2,4C,0.789,3C,0.785,0.004,no,
13,1,TC,0.878,5H,0.850,0.028,no,
13,2,4C,0.896,6S,0.887,0.009,no,
14,1,6H,0.920,7H,0.907,0.013,yes,6H__SS14_hero1_s0.920_g0.013.png
14,2,4C,0.951,2C,0.922,0.029,no,
15,1,KC,1.000,5C,0.905,0.094,no,
15,2,6S,1.000,7D,0.859,0.141,no,
16,1,7C,0.929,6S,0.927,0.002,yes,7C__SS16_hero1_s0.929_g0.002.png
16,2,4C,0.970,3C,0.898,0.071,no,
17,1,4H,0.904,7H,0.876,0.028,no,
17,2,2C,0.861,3C,0.813,0.048,no,
